Order ID,Customer ID,Customer Email,Order Date,Region,Sales Channel,Customer Segment,Category,Product,Units,Unit Price ,Discount,Revenue,Cost,Returned
ORD-100590,CUST-10104,devon.fontaine103@example.com,2022-11-14,North,Online,Consumer,Home & Kitchen,Air Fryer,2,137.59,10%,247.66,163.75,No
ORD-102175,CUST-10734,oakley.rossi733@example.com,2023-10-12,East,Online,Consumer,Electronics,4K Monitor,4,401.9,0%,1607.60,1189.02,No
ORD-100916,CUST-10308,indigo.pereira307@example.com,2023-01-06,West,Online,Small Business,Home & Kitchen,Espresso Machine,1,453.3,0%,453.30,277.95,No
ORD-101480,CUST-10459,tatum.castillo458@example.com,2023-05-21,East,Online,Consumer,Office Supplies,Desk Organizer,19,37.27,10%,637.32,289.27,No
ORD-101698,CUST-10537,rowan.gallagher536@example.com,2023-06-30,South,Online,Small Business,Electronics,Wireless Earbuds,4,127.72,0%,$510.88,404.2,No
ORD-102620,CUST-10642,blair.moreau641@example.com,2023-12-16,South,Wholesale,Enterprise,Office Supplies,Premium Notebook Pack,160,22.28,5%,3386.56,1744.3,No
ORD-101618,CUST-10514,oakley.fontaine513@example.com,2023-06-15,North,Retail Store,Consumer,Furniture,Ergo Office Chair,3,277.05,0%,$831.15,475.05,No
ORD-101028,CUST-10250,kai.moreau249@example.com,2023-02-03,North,Retail Store,Consumer,Furniture,Standing Desk,3,540.04,20%,1296.10,931.73,No
ORD-104222,CUST-11378,sasha.iversen1377@example.com,2024-10-16,West,Retail Store,Consumer,Electronics,Laptop Pro 14,3,1309.9,5%,"$3,733.22",3038.52,Yes
ORD-104045,CUST-11248,indigo.castillo1247@example.com,2024-09-17,West,Online,Consumer,Home & Kitchen,Chef Knife Set,3,87.7,15%,223.64,166.84,No
ORD-102168,CUST-10546,frankie.haddad545@example.com,2023-10-11,South,Wholesale,N/A,Home & Kitchen,Chef Knife Set,7,89.38,5%,$594.38,376.48,No
ORD-100388,CUST-10027,harper.bianchi26@example.com,2022-10-06,South,Retail Store,Consumer,Office Supplies,Gel Pen Set,12,11.98,10%,129.38,63.61,Yes
ORD-103159,CUST-10989,jules.jensen988@example.com,2024-04-07,North,Online,Small Business,Electronics,Laptop Pro 14,2,1254.11,0%,"$2,508.22",,No
ORD-104181,CUST-11263,casey.dubois1262@example.com,"Oct 09, 2024",East,Online,Consumer,Home & Kitchen,Chef Knife Set,3,88.01,0%,264.03,169.11,No
ORD-101685,CUST-10507,harper.fontaine506@example.com,2023-06-28,North,Online,Small Business,Office Supplies,Gel Pen Set,14,12.65,10%,159.39,76.18,No
ORD-101039,CUST-10337,rowan.rossi336@example.com,2023-02-06,East,Retail Store,Consumer,Office Supplies,Premium Notebook Pack,18,25.43,0%,457.74,188.96,No
